Customer ID,Credit Limit,Utilisation %,Avg Payment Ratio,Min Due Paid Frequency,Merchant Mix Index,Cash Withdrawal %,Recent Spend Change %,DPD Bucket Next Month,raw_score,score_norm,risk_class,top3_contribs,contribs
C0001,235570,21.9,83.1,19.2,1.0,11.3,12.1,0,0.1611,0.1611,Low,"[('pay', 0.05408), ('util', 0.0438), ('minpaid', 0.04224)]","{'spend': 0.00968, 'pay': 0.05408, 'minpaid': 0.04224, 'util': 0.0438, 'cash': 0.0113, 'merchant': 0.0}"
C0002,76897,55.3,51.0,67.6,0.93,44.1,-2.8,1,0.46806,0.46806,Medium,"[('pay', 0.1568), ('minpaid', 0.14872), ('util', 0.1106)]","{'spend': 0.00224, 'pay': 0.1568, 'minpaid': 0.14872, 'util': 0.1106, 'cash': 0.0441, 'merchant': 0.0056}"
C0003,68944,43.3,57.2,54.3,0.91,29.3,20.4,0,0.39584,0.39584,Low,"[('pay', 0.13696), ('minpaid', 0.11946), ('util', 0.0866)]","{'spend': 0.01632, 'pay': 0.13696, 'minpaid': 0.11946, 'util': 0.0866, 'cash': 0.0293, 'merchant': 0.0072}"
C0004,20915,12.8,89.0,9.7,1.0,10.6,-2.4,0,0.09466,0.09466,Low,"[('pay', 0.0352), ('util', 0.0256), ('minpaid', 0.02134)]","{'spend': 0.00192, 'pay': 0.0352, 'minpaid': 0.02134, 'util': 0.0256, 'cash': 0.0106, 'merchant': 0.0}"
C0005,89591,80.8,29.2,90.6,0.59,47.7,-11.6,3,0.67726,0.67726,High,"[('pay', 0.22656), ('minpaid', 0.19932), ('util', 0.1616)]","{'spend': 0.00928, 'pay': 0.22656, 'minpaid': 0.19932, 'util': 0.1616, 'cash': 0.0477, 'merchant': 0.0328}"
C0006,75491,28.8,75.7,30.9,1.0,15.6,49.1,0,0.25822,0.25822,Low,"[('pay', 0.07776), ('minpaid', 0.06798), ('util', 0.0576)]","{'spend': 0.03928, 'pay': 0.07776, 'minpaid': 0.06798, 'util': 0.0576, 'cash': 0.0156, 'merchant': 0.0}"
C0007,66998,12.1,81.9,13.2,1.0,10.6,2.8,0,0.124,0.124,Low,"[('pay', 0.05792), ('minpaid', 0.02904), ('util', 0.0242)]","{'spend': 0.00224, 'pay': 0.05792, 'minpaid': 0.02904, 'util': 0.0242, 'cash': 0.0106, 'merchant': 0.0}"
C0008,107048,12.3,77.3,25.9,1.0,17.4,-29.9,0,0.19554,0.19554,Low,"[('pay', 0.07264), ('minpaid', 0.05698), ('util', 0.0246)]","{'spend': 0.02392, 'pay': 0.07264, 'minpaid': 0.05698, 'util': 0.0246, 'cash': 0.0174, 'merchant': 0.0}"
C0009,113453,29.4,82.4,22.9,1.0,13.2,9.1,0,0.18598,0.18598,Low,"[('util', 0.0588), ('pay', 0.05632), ('minpaid', 0.05038)]","{'spend': 0.00728, 'pay': 0.05632, 'minpaid': 0.05038, 'util': 0.0588, 'cash': 0.0132, 'merchant': 0.0}"
C0010,50085,16.5,94.8,17.0,1.0,6.6,-4.2,0,0.097,0.097,Low,"[('minpaid', 0.0374), ('util', 0.033), ('pay', 0.01664)]","{'spend': 0.00336, 'pay': 0.01664, 'minpaid': 0.0374, 'util': 0.033, 'cash': 0.0066, 'merchant': 0.0}"
C0011,55278,12.5,95.8,23.9,1.0,21.2,-1.5,0,0.11342,0.11342,Low,"[('minpaid', 0.05258), ('util', 0.025), ('cash', 0.0212)]","{'spend': 0.0012, 'pay': 0.01344, 'minpaid': 0.05258, 'util': 0.025, 'cash': 0.0212, 'merchant': 0.0}"
C0012,69280,24.8,88.6,13.2,1.0,15.7,15.8,1,0.14346,0.14346,Low,"[('util', 0.0496), ('pay', 0.03648), ('minpaid', 0.02904)]","{'spend': 0.01264, 'pay': 0.03648, 'minpaid': 0.02904, 'util': 0.0496, 'cash': 0.0157, 'merchant': 0.0}"
C0013,131517,47.3,43.8,65.7,0.82,48.5,-13.2,2,0.49244,0.49244,Medium,"[('pay', 0.17984), ('minpaid', 0.14454), ('util', 0.0946)]","{'spend': 0.01056, 'pay': 0.17984, 'minpaid': 0.14454, 'util': 0.0946, 'cash': 0.0485, 'merchant': 0.0144}"
C0014,122543,20.1,86.6,25.7,1.0,14.3,-0.3,0,0.15416,0.15416,Low,"[('minpaid', 0.05654), ('pay', 0.04288), ('util', 0.0402)]","{'spend': 0.00024, 'pay': 0.04288, 'minpaid': 0.05654, 'util': 0.0402, 'cash': 0.0143, 'merchant': 0.0}"
C0015,43893,11.5,87.2,12.2,1.0,22.0,-8.9,0,0.11992,0.11992,Low,"[('pay', 0.04096), ('minpaid', 0.02684), ('util', 0.023)]","{'spend': 0.00712, 'pay': 0.04096, 'minpaid': 0.02684, 'util': 0.023, 'cash': 0.022, 'merchant': 0.0}"
C0016,48623,23.5,87.1,17.5,1.0,26.0,-18.5,0,0.16758,0.16758,Low,"[('util', 0.047), ('pay', 0.04128), ('minpaid', 0.0385)]","{'spend': 0.0148, 'pay': 0.04128, 'minpaid': 0.0385, 'util': 0.047, 'cash': 0.026, 'merchant': 0.0}"
C0017,134972,16.0,91.3,14.9,1.0,19.2,-1.5,0,0.11302,0.11302,Low,"[('minpaid', 0.03278), ('util', 0.032), ('pay', 0.02784)]","{'spend': 0.0012, 'pay': 0.02784, 'minpaid': 0.03278, 'util': 0.032, 'cash': 0.0192, 'merchant': 0.0}"
C0018,213975,49.2,50.9,57.7,0.93,32.6,-19.9,2,0.43658,0.43658,Medium,"[('pay', 0.15712), ('minpaid', 0.12694), ('util', 0.0984)]","{'spend': 0.01592, 'pay': 0.15712, 'minpaid': 0.12694, 'util': 0.0984, 'cash': 0.0326, 'merchant': 0.0056}"
C0019,88475,44.6,67.1,40.1,1.0,32.6,-19.3,0,0.33074,0.33074,Low,"[('pay', 0.10528), ('util', 0.0892), ('minpaid', 0.08822)]","{'spend': 0.01544, 'pay': 0.10528, 'minpaid': 0.08822, 'util': 0.0892, 'cash': 0.0326, 'merchant': 0.0}"
C0020,61801,37.1,53.5,42.2,1.0,27.6,-34.5,1,0.37104,0.37104,Low,"[('pay', 0.1488), ('minpaid', 0.09284), ('util', 0.0742)]","{'spend': 0.0276, 'pay': 0.1488, 'minpaid': 0.09284, 'util': 0.0742, 'cash': 0.0276, 'merchant': 0.0}"
C0021,164417,16.2,90.5,11.5,1.0,23.6,-15.1,0,0.12378,0.12378,Low,"[('util', 0.0324), ('pay', 0.0304), ('minpaid', 0.0253)]","{'spend': 0.01208, 'pay': 0.0304, 'minpaid': 0.0253, 'util': 0.0324, 'cash': 0.0236, 'merchant': 0.0}"
C0022,75910,20.0,85.8,16.1,1.0,19.5,-26.4,0,0.16148,0.16148,Low,"[('pay', 0.04544), ('util', 0.04), ('minpaid', 0.03542)]","{'spend': 0.02112, 'pay': 0.04544, 'minpaid': 0.03542, 'util': 0.04, 'cash': 0.0195, 'merchant': 0.0}"
C0023,134152,23.3,79.8,23.0,1.0,11.0,-26.3,0,0.19388,0.19388,Low,"[('pay', 0.06464), ('minpaid', 0.0506), ('util', 0.0466)]","{'spend': 0.02104, 'pay': 0.06464, 'minpaid': 0.0506, 'util': 0.0466, 'cash': 0.011, 'merchant': 0.0}"
C0024,210988,16.4,86.4,12.7,1.0,7.6,-1.4,0,0.11298,0.11298,Low,"[('pay', 0.04352), ('util', 0.0328), ('minpaid', 0.02794)]","{'spend': 0.00112, 'pay': 0.04352, 'minpaid': 0.02794, 'util': 0.0328, 'cash': 0.0076, 'merchant': 0.0}"
C0025,127275,12.6,83.3,13.9,1.0,9.5,6.2,0,0.12368,0.12368,Low,"[('pay', 0.05344), ('minpaid', 0.03058), ('util', 0.0252)]","{'spend': 0.00496, 'pay': 0.05344, 'minpaid': 0.03058, 'util': 0.0252, 'cash': 0.0095, 'merchant': 0.0}"
C0026,93712,19.5,84.9,24.0,1.0,12.4,9.1,0,0.1598,0.1598,Low,"[('minpaid', 0.0528), ('pay', 0.04832), ('util', 0.039)]","{'spend': 0.00728, 'pay': 0.04832, 'minpaid': 0.0528, 'util': 0.039, 'cash': 0.0124, 'merchant': 0.0}"
C0027,134634,10.2,98.3,6.2,1.0,13.4,9.4,0,0.0604,0.0604,Low,"[('util', 0.0204), ('minpaid', 0.01364), ('cash', 0.0134)]","{'spend': 0.00752, 'pay': 0.00544, 'minpaid': 0.01364, 'util': 0.0204, 'cash': 0.0134, 'merchant': 0.0}"
C0028,63206,12.9,97.3,5.8,1.0,7.5,-1.9,0,0.05622,0.05622,Low,"[('util', 0.0258), ('minpaid', 0.01276), ('pay', 0.00864)]","{'spend': 0.00152, 'pay': 0.00864, 'minpaid': 0.01276, 'util': 0.0258, 'cash': 0.0075, 'merchant': 0.0}"
C0029,81602,27.6,89.4,20.8,1.0,14.4,11.6,0,0.15856,0.15856,Low,"[('util', 0.0552), ('minpaid', 0.04576), ('pay', 0.03392)]","{'spend': 0.00928, 'pay': 0.03392, 'minpaid': 0.04576, 'util': 0.0552, 'cash': 0.0144, 'merchant': 0.0}"
C0030,65637,4.4,96.7,13.1,1.0,4.1,12.4,0,0.0622,0.0622,Low,"[('minpaid', 0.02882), ('pay', 0.01056), ('spend', 0.00992)]","{'spend': 0.00992, 'pay': 0.01056, 'minpaid': 0.02882, 'util': 0.0088, 'cash': 0.0041, 'merchant': 0.0}"
C0031,80431,27.6,73.7,31.2,0.99,18.4,-12.2,1,0.23696,0.23696,Low,"[('pay', 0.08416), ('minpaid', 0.06864), ('util', 0.0552)]","{'spend': 0.00976, 'pay': 0.08416, 'minpaid': 0.06864, 'util': 0.0552, 'cash': 0.0184, 'merchant': 0.0008}"
C0032,68871,31.6,59.0,52.7,0.9,28.0,3.4,0,0.34906,0.34906,Low,"[('pay', 0.1312), ('minpaid', 0.11594), ('util', 0.0632)]","{'spend': 0.00272, 'pay': 0.1312, 'minpaid': 0.11594, 'util': 0.0632, 'cash': 0.028, 'merchant': 0.008}"
C0033,81258,28.6,90.2,11.4,1.0,9.7,-0.1,0,0.12342,0.12342,Low,"[('util', 0.0572), ('pay', 0.03136), ('minpaid', 0.02508)]","{'spend': 8e-05, 'pay': 0.03136, 'minpaid': 0.02508, 'util': 0.0572, 'cash': 0.0097, 'merchant': 0.0}"
C0034,73004,21.8,73.6,28.8,1.0,17.9,15.0,2,0.22134,0.22134,Low,"[('pay', 0.08448), ('minpaid', 0.06336), ('util', 0.0436)]","{'spend': 0.012, 'pay': 0.08448, 'minpaid': 0.06336, 'util': 0.0436, 'cash': 0.0179, 'merchant': 0.0}"
C0035,94514,22.3,99.1,17.1,1.0,8.2,-2.6,0,0.09538,0.09538,Low,"[('util', 0.0446), ('minpaid', 0.03762), ('cash', 0.0082)]","{'spend': 0.00208, 'pay': 0.00288, 'minpaid': 0.03762, 'util': 0.0446, 'cash': 0.0082, 'merchant': 0.0}"
C0036,93208,20.8,71.6,32.3,1.0,25.6,-12.5,0,0.23914,0.23914,Low,"[('pay', 0.09088), ('minpaid', 0.07106), ('util', 0.0416)]","{'spend': 0.01, 'pay': 0.09088, 'minpaid': 0.07106, 'util': 0.0416, 'cash': 0.0256, 'merchant': 0.0}"
C0037,105932,36.7,83.5,23.9,1.0,20.9,-12.6,0,0.20976,0.20976,Low,"[('util', 0.0734), ('pay', 0.0528), ('minpaid', 0.05258)]","{'spend': 0.01008, 'pay': 0.0528, 'minpaid': 0.05258, 'util': 0.0734, 'cash': 0.0209, 'merchant': 0.0}"
C0038,194675,17.3,90.6,15.3,1.0,22.6,0.8,0,0.12158,0.12158,Low,"[('util', 0.0346), ('minpaid', 0.03366), ('pay', 0.03008)]","{'spend': 0.00064, 'pay': 0.03008, 'minpaid': 0.03366, 'util': 0.0346, 'cash': 0.0226, 'merchant': 0.0}"
C0039,38438,0.8,89.6,15.2,1.0,14.8,10.7,0,0.09168,0.09168,Low,"[('minpaid', 0.03344), ('pay', 0.03328), ('cash', 0.0148)]","{'spend': 0.00856, 'pay': 0.03328, 'minpaid': 0.03344, 'util': 0.0016, 'cash': 0.0148, 'merchant': 0.0}"
C0040,183534,22.1,77.4,32.3,1.0,16.4,-15.6,0,0.21646,0.21646,Low,"[('pay', 0.07232), ('minpaid', 0.07106), ('util', 0.0442)]","{'spend': 0.01248, 'pay': 0.07232, 'minpaid': 0.07106, 'util': 0.0442, 'cash': 0.0164, 'merchant': 0.0}"
C0041,78990,39.1,63.2,28.7,0.98,19.3,-0.6,0,0.28048,0.28048,Low,"[('pay', 0.11776), ('util', 0.0782), ('minpaid', 0.06314)]","{'spend': 0.00048, 'pay': 0.11776, 'minpaid': 0.06314, 'util': 0.0782, 'cash': 0.0193, 'merchant': 0.0016}"
C0042,45696,33.0,80.1,38.0,1.0,19.5,-4.2,0,0.23614,0.23614,Low,"[('minpaid', 0.0836), ('util', 0.066), ('pay', 0.06368)]","{'spend': 0.00336, 'pay': 0.06368, 'minpaid': 0.0836, 'util': 0.066, 'cash': 0.0195, 'merchant': 0.0}"
C0043,81857,26.6,89.2,21.3,1.0,17.2,-25.4,0,0.17214,0.17214,Low,"[('util', 0.0532), ('minpaid', 0.04686), ('pay', 0.03456)]","{'spend': 0.02032, 'pay': 0.03456, 'minpaid': 0.04686, 'util': 0.0532, 'cash': 0.0172, 'merchant': 0.0}"
C0044,94663,19.8,78.9,25.7,1.0,15.2,15.3,0,0.1911,0.1911,Low,"[('pay', 0.06752), ('minpaid', 0.05654), ('util', 0.0396)]","{'spend': 0.01224, 'pay': 0.06752, 'minpaid': 0.05654, 'util': 0.0396, 'cash': 0.0152, 'merchant': 0.0}"
C0045,161898,4.2,100.0,5.1,1.0,16.4,0.8,0,0.03666,0.03666,Low,"[('cash', 0.0164), ('minpaid', 0.01122), ('util', 0.0084)]","{'spend': 0.00064, 'pay': 0.0, 'minpaid': 0.01122, 'util': 0.0084, 'cash': 0.0164, 'merchant': 0.0}"
C0046,50195,13.6,78.4,23.4,1.0,10.4,-4.7,0,0.16196,0.16196,Low,"[('pay', 0.06912), ('minpaid', 0.05148), ('util', 0.0272)]","{'spend': 0.00376, 'pay': 0.06912, 'minpaid': 0.05148, 'util': 0.0272, 'cash': 0.0104, 'merchant': 0.0}"
C0047,101428,25.0,82.0,30.7,1.0,33.6,14.4,2,0.22026,0.22026,Low,"[('minpaid', 0.06754), ('pay', 0.0576), ('util', 0.05)]","{'spend': 0.01152, 'pay': 0.0576, 'minpaid': 0.06754, 'util': 0.05, 'cash': 0.0336, 'merchant': 0.0}"
C0048,96025,21.3,81.3,31.1,1.0,17.0,0.7,0,0.18842,0.18842,Low,"[('minpaid', 0.06842), ('pay', 0.05984), ('util', 0.0426)]","{'spend': 0.00056, 'pay': 0.05984, 'minpaid': 0.06842, 'util': 0.0426, 'cash': 0.017, 'merchant': 0.0}"
C0049,35643,49.3,45.1,63.3,0.88,43.7,20.8,2,0.48348,0.48348,Medium,"[('pay', 0.17568), ('minpaid', 0.13926), ('util', 0.0986)]","{'spend': 0.01664, 'pay': 0.17568, 'minpaid': 0.13926, 'util': 0.0986, 'cash': 0.0437, 'merchant': 0.0096}"
C0050,46882,19.3,77.5,25.1,1.0,33.0,31.1,0,0.2237,0.2237,Low,"[('pay', 0.072), ('minpaid', 0.05522), ('util', 0.0386)]","{'spend': 0.02488, 'pay': 0.072, 'minpaid': 0.05522, 'util': 0.0386, 'cash': 0.033, 'merchant': 0.0}"
C0051,125194,41.5,59.5,47.1,0.94,32.5,38.7,2,0.38448,0.38448,Low,"[('pay', 0.1296), ('minpaid', 0.10362), ('util', 0.083)]","{'spend': 0.03096, 'pay': 0.1296, 'minpaid': 0.10362, 'util': 0.083, 'cash': 0.0325, 'merchant': 0.0048}"
C0052,131943,30.7,89.7,27.5,1.0,24.6,27.6,0,0.20154,0.20154,Low,"[('util', 0.0614), ('minpaid', 0.0605), ('pay', 0.03296)]","{'spend': 0.02208, 'pay': 0.03296, 'minpaid': 0.0605, 'util': 0.0614, 'cash': 0.0246, 'merchant': 0.0}"
C0053,163702,52.7,45.0,66.2,0.78,44.0,35.7,3,0.5172,0.5172,High,"[('pay', 0.176), ('minpaid', 0.14564), ('util', 0.1054)]","{'spend': 0.02856, 'pay': 0.176, 'minpaid': 0.14564, 'util': 0.1054, 'cash': 0.044, 'merchant': 0.0176}"
C0054,120712,7.9,100.0,5.8,1.0,14.2,0.5,0,0.04316,0.04316,Low,"[('util', 0.0158), ('cash', 0.0142), ('minpaid', 0.01276)]","{'spend': 0.0004, 'pay': 0.0, 'minpaid': 0.01276, 'util': 0.0158, 'cash': 0.0142, 'merchant': 0.0}"
C0055,111852,12.4,85.8,15.9,1.0,19.7,1.2,0,0.12588,0.12588,Low,"[('pay', 0.04544), ('minpaid', 0.03498), ('util', 0.0248)]","{'spend': 0.00096, 'pay': 0.04544, 'minpaid': 0.03498, 'util': 0.0248, 'cash': 0.0197, 'merchant': 0.0}"
